gene alpha_original SE_original P_original N_original Phet_original alpha SE P Nend Phet
ENSG00000005189 0.02571 0.03578 0.472 123 0.995 0.02571 0.03578 0.472 123 0.995
ENSG00000005194 -0.01982 0.05654 0.726 112 1 -0.01982 0.05654 0.726 112 1
ENSG00000005206 -0.00796 0.03535 0.822 122 0.973 -0.00796 0.03535 0.822 122 0.973
ENSG00000005238 0.0746 0.0358 0.0372 125 0.867 0.0746 0.0358 0.0372 125 0.867
ENSG00000005243 0.03445 0.03501 0.325 125 0.996 0.03445 0.03501 0.325 125 0.996
ENSG00000005249 0.01319 0.03543 0.71 120 0.91 0.01319 0.03543 0.71 120 0.91
ENSG00000005302 -0.06644 0.06999 0.343 97 1 -0.06644 0.06999 0.343 97 1
ENSG00000005339 -0.01935 0.03555 0.586 120 0.944 -0.01935 0.03555 0.586 120 0.944
ENSG00000005379 -0.04813 0.03566 0.177 120 0.687 -0.04813 0.03566 0.177 120 0.687
ENSG00000005381 -0.00175 0.03533 0.96 121 0.752 -0.00175 0.03533 0.96 121 0.752
ENSG00000005436 -0.01694 0.0734 0.818 97 1 -0.01694 0.0734 0.818 97 1
ENSG00000005448 0.09564 0.03577 0.00749 117 0.908 0.09564 0.03577 0.00749 117 0.908
ENSG00000005469 0.08469 0.03524 0.0163 124 0.945 0.08469 0.03524 0.0163 124 0.945
ENSG00000005471 0.05107 0.03507 0.145 125 0.887 0.05107 0.03507 0.145 125 0.887
ENSG00000005483 -0.00773 0.03859 0.841 121 0.981 -0.00773 0.03859 0.841 121 0.981
ENSG00000005486 -0.05305 0.0557 0.341 101 0.992 -0.05305 0.0557 0.341 101 0.992
ENSG00000005513 -0.01825 0.03516 0.604 124 0.973 -0.01825 0.03516 0.604 124 0.973
ENSG00000005700 0.00175 0.0353 0.96 121 0.991 0.00175 0.0353 0.96 121 0.991
ENSG00000005801 -0.0635 0.0356 0.0745 119 0.929 -0.0635 0.0356 0.0745 119 0.929
ENSG00000005810 0.03482 0.03556 0.328 120 0.672 0.03482 0.03556 0.328 120 0.672
ENSG00000005812 -0.03576 0.0353 0.311 123 0.937 -0.03576 0.0353 0.311 123 0.937
ENSG00000005844 0.10138 0.03588 0.00472 121 0.899 0.10138 0.03588 0.00472 121 0.899
ENSG00000005882 0.05359 0.03863 0.165 122 0.972 0.05359 0.03863 0.165 122 0.972
ENSG00000005884 -0.00568 0.03527 0.872 121 0.993 -0.00568 0.03527 0.872 121 0.993
ENSG00000005889 0.01016 0.06815 0.881 105 1 0.01016 0.06815 0.881 105 1
ENSG00000005893 -0.03154 0.07066 0.655 94 1 -0.03154 0.07066 0.655 94 1
ENSG00000005955 0.01097 0.0542 0.84 109 0.995 0.01097 0.0542 0.84 109 0.995
ENSG00000005961 0.05178 0.03541 0.144 123 0.764 0.05178 0.03541 0.144 123 0.764
ENSG00000006007 -0.01621 0.03555 0.648 119 0.577 -0.01621 0.03555 0.648 119 0.577
ENSG00000006015 0.00166 0.039 0.966 121 0.994 0.00166 0.039 0.966 121 0.994
ENSG00000006016 0.01944 0.03655 0.595 117 0.9 0.01944 0.03655 0.595 117 0.9
ENSG00000006025 -0.03168 0.03507 0.366 124 0.842 -0.03168 0.03507 0.366 124 0.842
ENSG00000006042 0.0657 0.03578 0.0663 121 0.948 0.0657 0.03578 0.0663 121 0.948
ENSG00000006047 -0.00559 0.03665 0.879 122 0.917 -0.00559 0.03665 0.879 122 0.917
ENSG00000006062 -0.01236 0.03497 0.724 125 0.992 -0.01236 0.03497 0.724 125 0.992
ENSG00000006075 0.05998 0.06984 0.39 102 1 0.05998 0.06984 0.39 102 1
ENSG00000006114 -0.00948 0.03853 0.806 123 0.998 -0.00948 0.03853 0.806 123 0.998
ENSG00000006118 -0.01139 0.03614 0.753 121 0.887 -0.01139 0.03614 0.753 121 0.887
ENSG00000006125 0.03783 0.03561 0.288 119 0.962 0.03783 0.03561 0.288 119 0.962
ENSG00000006194 0.02646 0.03538 0.455 122 0.936 0.02646 0.03538 0.455 122 0.936
ENSG00000006282 0.00385 0.03541 0.913 120 0.937 0.00385 0.03541 0.913 120 0.937
ENSG00000006327 -0.0648 0.03527 0.0662 124 0.787 -0.0648 0.03527 0.0662 124 0.787
ENSG00000006432 0.01112 0.03514 0.752 125 0.816 0.01112 0.03514 0.752 125 0.816
ENSG00000006451 0.01218 0.05386 0.821 111 1 0.01218 0.05386 0.821 111 1
ENSG00000006453 0.00581 0.03526 0.869 123 0.87 0.00581 0.03526 0.869 123 0.87
ENSG00000006459 -0.0198 0.04505 0.66 113 1 -0.0198 0.04505 0.66 113 1
ENSG00000006468 -0.02234 0.03598 0.535 120 0.869 -0.02234 0.03598 0.535 120 0.869
ENSG00000006530 0.05853 0.03503 0.0948 125 0.943 0.05853 0.03503 0.0948 125 0.943
ENSG00000006534 -0.05824 0.03545 0.1 120 0.856 -0.05824 0.03545 0.1 120 0.856
ENSG00000006555 0.1032 0.04536 0.0229 116 1 0.1032 0.04536 0.0229 116 1
ENSG00000006576 0.03031 0.0358 0.397 119 0.842 0.03031 0.0358 0.397 119 0.842
ENSG00000006607 -0.07096 0.03573 0.0471 123 0.945 -0.07096 0.03573 0.0471 123 0.945
ENSG00000006625 -0.01032 0.03541 0.771 124 0.854 -0.01032 0.03541 0.771 124 0.854
ENSG00000006634 -0.00013 0.03514 0.997 123 0.894 -0.00013 0.03514 0.997 123 0.894
ENSG00000006638 0.00635 0.03552 0.858 118 0.813 0.00635 0.03552 0.858 118 0.813
ENSG00000006652 -0.10456 0.03559 0.0033 121 0.943 -0.10456 0.03559 0.0033 121 0.943
ENSG00000006695 -0.00295 0.03523 0.933 124 0.96 -0.00295 0.03523 0.933 124 0.96
ENSG00000006704 -0.01367 0.05488 0.803 106 1 -0.01367 0.05488 0.803 106 1
ENSG00000006712 0.08649 0.03549 0.0148 121 0.909 0.08649 0.03549 0.0148 121 0.909
ENSG00000006715 0.0033 0.03541 0.926 122 0.658 0.0033 0.03541 0.926 122 0.658
ENSG00000006740 -0.0412 0.0389 0.29 120 1 -0.0412 0.0389 0.29 120 1
ENSG00000006744 0.04963 0.03534 0.16 121 0.933 0.04963 0.03534 0.16 121 0.933
ENSG00000006747 0.00377 0.03601 0.917 124 0.61 0.00377 0.03601 0.917 124 0.61
ENSG00000006756 0.01579 0.06955 0.82 98 1 0.01579 0.06955 0.82 98 1
ENSG00000006757 0.0523 0.06792 0.441 103 1 0.0523 0.06792 0.441 103 1
ENSG00000006831 -0.01767 0.03562 0.62 119 0.735 -0.01767 0.03562 0.62 119 0.735
ENSG00000006837 0.03611 0.03584 0.314 122 0.706 0.03611 0.03584 0.314 122 0.706
ENSG00000007038 -0.04112 0.03583 0.251 116 0.874 -0.04112 0.03583 0.251 116 0.874
ENSG00000007047 0.02812 0.03768 0.455 118 0.501 0.02812 0.03768 0.455 118 0.501
ENSG00000007062 0.05224 0.07426 0.482 95 1 0.05224 0.07426 0.482 95 1
ENSG00000007080 0.06312 0.03556 0.0759 118 0.929 0.06312 0.03556 0.0759 118 0.929
ENSG00000007129 -0.03653 0.03912 0.35 116 0.768 -0.03653 0.03912 0.35 116 0.768
ENSG00000007168 0.08553 0.03842 0.026 122 1 0.08553 0.03842 0.026 122 1
ENSG00000007171 0.05211 0.03651 0.154 123 0.99 0.05211 0.03651 0.154 123 0.99
ENSG00000007202 0.05773 0.03553 0.104 122 0.988 0.05773 0.03553 0.104 122 0.988
ENSG00000007237 0.01405 0.03562 0.693 117 0.967 0.01405 0.03562 0.693 117 0.967
ENSG00000007255 -0.00804 0.03603 0.823 117 0.828 -0.00804 0.03603 0.823 117 0.828
ENSG00000007264 0.02868 0.0355 0.419 121 0.885 0.02868 0.0355 0.419 121 0.885
ENSG00000007312 0.12349 0.03578 0.000558 119 0.824 0.12349 0.03578 0.000558 119 0.824
ENSG00000007314 0.01194 0.03531 0.735 121 0.999 0.01194 0.03531 0.735 121 0.999
ENSG00000007341 -0.06448 0.03555 0.0697 119 0.873 -0.06448 0.03555 0.0697 119 0.873
ENSG00000007350 -0.03928 0.06962 0.573 102 1 -0.03928 0.06962 0.573 102 1
ENSG00000007372 0.0394 0.03602 0.274 122 0.893 0.0394 0.03602 0.274 122 0.893
ENSG00000007376 0.00294 0.03534 0.934 123 0.981 0.00294 0.03534 0.934 123 0.981
ENSG00000007384 -0.04548 0.03709 0.22 117 0.473 -0.04548 0.03709 0.22 117 0.473
ENSG00000007392 0.0124 0.03536 0.726 123 0.981 0.0124 0.03536 0.726 123 0.981
ENSG00000007402 0.01568 0.036 0.663 118 0.627 0.01568 0.036 0.663 118 0.627
ENSG00000007516 0.04176 0.03517 0.235 125 0.685 0.04176 0.03517 0.235 125 0.685
ENSG00000007520 7e-05 0.0394 0.998 121 0.989 7e-05 0.0394 0.998 121 0.989
ENSG00000007541 -0.0245 0.0352 0.486 123 0.966 -0.0245 0.0352 0.486 123 0.966
ENSG00000007545 -0.04062 0.03739 0.277 116 0.745 -0.04062 0.03739 0.277 116 0.745
ENSG00000007866 0.02704 0.03564 0.448 119 0.926 0.02704 0.03564 0.448 119 0.926
ENSG00000007923 0.0134 0.03524 0.704 122 0.923 0.0134 0.03524 0.704 122 0.923
ENSG00000007944 -0.12299 0.03557 0.000545 118 0.982 -0.12299 0.03557 0.000545 118 0.982
ENSG00000007952 -0.10685 0.07887 0.176 91 1 -0.10685 0.07887 0.176 91 1
ENSG00000007968 0.01114 0.03577 0.755 122 0.461 0.01114 0.03577 0.755 122 0.461
ENSG00000008018 -0.01135 0.03529 0.748 122 0.958 -0.01135 0.03529 0.748 122 0.958
ENSG00000008056 0.05676 0.06899 0.411 98 1 0.05676 0.06899 0.411 98 1
ENSG00000008083 -0.00498 0.0353 0.888 121 0.958 -0.00498 0.0353 0.888 121 0.958
ENSG00000008086 -0.06867 0.06955 0.323 99 1 -0.06867 0.06955 0.323 99 1
ENSG00000008128 0.06092 0.06065 0.315 104 1 0.06092 0.06065 0.315 104 1
ENSG00000008130 0.03617 0.05429 0.505 106 0.997 0.03617 0.05429 0.505 106 0.997
ENSG00000008226 0.05999 0.03504 0.0869 127 0.88 0.05999 0.03504 0.0869 127 0.88
ENSG00000008256 0.04282 0.03646 0.24 122 0.333 0.04282 0.03646 0.24 122 0.333
ENSG00000008277 0.03566 0.0354 0.314 122 0.668 0.03566 0.0354 0.314 122 0.668
ENSG00000008282 0.00927 0.03553 0.794 121 0.987 0.00927 0.03553 0.794 121 0.987
ENSG00000008283 0.04272 0.03609 0.237 116 0.432 0.04272 0.03609 0.237 116 0.432
ENSG00000008294 -0.00269 0.03562 0.94 121 0.867 -0.00269 0.03562 0.94 121 0.867
ENSG00000008300 -0.03982 0.03894 0.307 119 0.127 -0.03982 0.03894 0.307 119 0.127
ENSG00000008311 -0.03393 0.03537 0.337 122 0.721 -0.03393 0.03537 0.337 122 0.721
ENSG00000008323 0.02006 0.03615 0.579 122 0.426 0.02006 0.03615 0.579 122 0.426
ENSG00000008324 -0.01187 0.03534 0.737 122 0.984 -0.01187 0.03534 0.737 122 0.984
ENSG00000008382 -0.01582 0.05453 0.772 106 1 -0.01582 0.05453 0.772 106 1
ENSG00000008394 0.06076 0.03551 0.0871 118 0.917 0.06076 0.03551 0.0871 118 0.917
ENSG00000008405 0.0376 0.03556 0.29 120 0.94 0.0376 0.03556 0.29 120 0.94
ENSG00000008438 0.02738 0.03594 0.446 118 0.871 0.02738 0.03594 0.446 118 0.871
ENSG00000008441 0.03696 0.03626 0.308 116 0.727 0.03696 0.03626 0.308 116 0.727
ENSG00000008513 0.02646 0.03523 0.453 123 0.922 0.02646 0.03523 0.453 123 0.922
ENSG00000008516 -0.0087 0.0363 0.811 116 0.983 -0.0087 0.0363 0.811 116 0.983
ENSG00000008517 0.05876 0.03721 0.114 119 0.787 0.05876 0.03721 0.114 119 0.787
ENSG00000008710 -0.00217 0.03933 0.956 117 0.863 -0.00217 0.03933 0.956 117 0.863
ENSG00000008735 -0.00129 0.0352 0.971 123 0.988 -0.00129 0.0352 0.971 123 0.988
ENSG00000008838 0.0074 0.0352 0.834 123 0.902 0.0074 0.0352 0.834 123 0.902
ENSG00000008853 -0.01554 0.03533 0.66 123 0.978 -0.01554 0.03533 0.66 123 0.978
ENSG00000008869 0.00628 0.03893 0.872 117 0.993 0.00628 0.03893 0.872 117 0.993
ENSG00000008952 0.04091 0.03519 0.245 122 0.958 0.04091 0.03519 0.245 122 0.958
ENSG00000008988 0.02929 0.03548 0.409 121 0.998 0.02929 0.03548 0.409 121 0.998
ENSG00000009307 0.03063 0.0351 0.383 124 0.964 0.03063 0.0351 0.383 124 0.964
ENSG00000009335 -0.01275 0.03531 0.718 123 0.879 -0.01275 0.03531 0.718 123 0.879
ENSG00000009413 -0.00213 0.03519 0.952 124 0.995 -0.00213 0.03519 0.952 124 0.995
ENSG00000009694 0.05716 0.0773 0.46 88 1 0.05716 0.0773 0.46 88 1
ENSG00000009724 -0.0092 0.03893 0.813 123 0.957 -0.0092 0.03893 0.813 123 0.957
ENSG00000009780 0.00606 0.03519 0.863 124 0.752 0.00606 0.03519 0.863 124 0.752
ENSG00000009790 0.05117 0.03556 0.15 122 0.45 0.05117 0.03556 0.15 122 0.45
ENSG00000009830 -0.00821 0.03538 0.817 122 0.945 -0.00821 0.03538 0.817 122 0.945
ENSG00000009844 -0.03036 0.03511 0.387 125 0.987 -0.03036 0.03511 0.387 125 0.987
ENSG00000009954 0.04165 0.05503 0.449 105 1 0.04165 0.05503 0.449 105 1
ENSG00000010017 -0.01625 0.03561 0.648 124 0.954 -0.01625 0.03561 0.648 124 0.954
ENSG00000010030 -0.00894 0.03553 0.801 124 0.823 -0.00894 0.03553 0.801 124 0.823
ENSG00000010072 -0.03881 0.03585 0.279 121 0.881 -0.03881 0.03585 0.279 121 0.881
ENSG00000010165 0.01386 0.03523 0.694 124 0.752 0.01386 0.03523 0.694 124 0.752
ENSG00000010219 0.03014 0.0356 0.397 126 0.724 0.03014 0.0356 0.397 126 0.724
ENSG00000010244 -0.00527 0.05422 0.923 108 1 -0.00527 0.05422 0.923 108 1
ENSG00000010256 0.08519 0.05452 0.118 110 1 0.08519 0.05452 0.118 110 1
ENSG00000010270 -0.03436 0.03537 0.331 122 0.945 -0.03436 0.03537 0.331 122 0.945
ENSG00000010278 0.01931 0.03554 0.587 121 0.83 0.01931 0.03554 0.587 121 0.83
ENSG00000010282 0.08729 0.03687 0.0179 121 0.991 0.08729 0.03687 0.0179 121 0.991
ENSG00000010292 0.02491 0.03512 0.478 123 0.995 0.02491 0.03512 0.478 123 0.995
ENSG00000010295 -0.07006 0.03562 0.0492 124 0.922 -0.07006 0.03562 0.0492 124 0.922
ENSG00000010310 0.00927 0.03593 0.796 120 0.779 0.00927 0.03593 0.796 120 0.779
ENSG00000010318 -0.01717 0.03563 0.63 122 0.912 -0.01717 0.03563 0.63 122 0.912
ENSG00000010319 0.02897 0.03589 0.42 119 0.931 0.02897 0.03589 0.42 119 0.931
ENSG00000010322 0.01509 0.03525 0.669 124 0.999 0.01509 0.03525 0.669 124 0.999
ENSG00000010327 0.02904 0.03583 0.418 118 0.796 0.02904 0.03583 0.418 118 0.796
ENSG00000010361 0.01084 0.03593 0.763 120 0.938 0.01084 0.03593 0.763 120 0.938
ENSG00000010379 -0.00134 0.03605 0.97 122 0.949 -0.00134 0.03605 0.97 122 0.949
ENSG00000010404 0.06844 0.06838 0.317 104 1 0.06844 0.06838 0.317 104 1
ENSG00000010438 0.04677 0.05678 0.41 104 1 0.04677 0.05678 0.41 104 1
ENSG00000010539 0.01373 0.03569 0.701 119 0.929 0.01373 0.03569 0.701 119 0.929
ENSG00000010610 -0.01333 0.03504 0.704 125 0.85 -0.01333 0.03504 0.704 125 0.85
ENSG00000010626 0.01142 0.03653 0.754 118 0.369 0.01142 0.03653 0.754 118 0.369
ENSG00000010671 0.01825 0.07042 0.796 96 1 0.01825 0.07042 0.796 96 1
ENSG00000010704 -0.03936 0.03527 0.265 122 0.974 -0.03936 0.03527 0.265 122 0.974
ENSG00000010803 -0.01621 0.03504 0.644 124 0.987 -0.01621 0.03504 0.644 124 0.987
ENSG00000010810 0.01869 0.03528 0.596 121 0.992 0.01869 0.03528 0.596 121 0.992
ENSG00000010818 0.01753 0.03533 0.62 120 0.581 0.01753 0.03533 0.62 120 0.581
ENSG00000011007 -0.02492 0.03542 0.482 122 0.987 -0.02492 0.03542 0.482 122 0.987
ENSG00000011009 0.01507 0.03564 0.672 123 0.863 0.01507 0.03564 0.672 123 0.863
ENSG00000011021 0.04453 0.03531 0.207 122 0.995 0.04453 0.03531 0.207 122 0.995
ENSG00000011028 -0.03604 0.03512 0.305 124 0.743 -0.03604 0.03512 0.305 124 0.743
ENSG00000011105 -0.01315 0.03568 0.712 118 0.937 -0.01315 0.03568 0.712 118 0.937
ENSG00000011114 -0.03138 0.03518 0.372 122 0.821 -0.03138 0.03518 0.372 122 0.821
ENSG00000011132 -0.05781 0.03541 0.103 120 0.925 -0.05781 0.03541 0.103 120 0.925
ENSG00000011143 0.04073 0.0353 0.249 122 0.953 0.04073 0.0353 0.249 122 0.953
ENSG00000011198 -0.07161 0.03495 0.0405 126 0.877 -0.07161 0.03495 0.0405 126 0.877
ENSG00000011201 0.02484 0.07001 0.723 97 1 0.02484 0.07001 0.723 97 1
ENSG00000011243 -0.0022 0.05381 0.967 109 1 -0.0022 0.05381 0.967 109 1
ENSG00000011258 -0.08139 0.03597 0.0237 117 0.98 -0.08139 0.03597 0.0237 117 0.98
ENSG00000011260 -0.03983 0.05427 0.463 105 1 -0.03983 0.05427 0.463 105 1
ENSG00000011275 0.02748 0.03529 0.436 121 0.793 0.02748 0.03529 0.436 121 0.793
ENSG00000011295 0.02736 0.03572 0.444 121 0.45 0.02736 0.03572 0.444 121 0.45
ENSG00000011304 -0.03962 0.03921 0.312 116 0.66 -0.03962 0.03921 0.312 116 0.66
ENSG00000011376 0.03204 0.03579 0.371 121 0.852 0.03204 0.03579 0.371 121 0.852
ENSG00000011405 0.04116 0.03879 0.289 122 0.88 0.04116 0.03879 0.289 122 0.88
ENSG00000011422 0.02628 0.03621 0.468 115 0.758 0.02628 0.03621 0.468 115 0.758
ENSG00000011426 0.02457 0.035 0.483 125 0.916 0.02457 0.035 0.483 125 0.916
ENSG00000011451 0.02079 0.05638 0.712 92 0.997 0.02079 0.05638 0.712 92 0.997
ENSG00000011454 0.00096 0.03548 0.978 121 0.926 0.00096 0.03548 0.978 121 0.926
ENSG00000011478 -0.05131 0.03613 0.156 120 0.96 -0.05131 0.03613 0.156 120 0.96
ENSG00000011485 -0.01116 0.03598 0.756 118 0.471 -0.01116 0.03598 0.756 118 0.471
ENSG00000011523 0.00048 0.03879 0.99 119 0.923 0.00048 0.03879 0.99 119 0.923
ENSG00000011566 -0.03951 0.05394 0.464 110 1 -0.03951 0.05394 0.464 110 1
ENSG00000011590 0.00958 0.03529 0.786 121 0.778 0.00958 0.03529 0.786 121 0.778
ENSG00000011600 -0.00432 0.03512 0.902 123 0.914 -0.00432 0.03512 0.902 123 0.914
ENSG00000011638 -0.02432 0.03532 0.491 123 0.88 -0.02432 0.03532 0.491 123 0.88
ENSG00000012048 -0.00469 0.0353 0.894 122 0.901 -0.00469 0.0353 0.894 122 0.901
ENSG00000012061 0.01802 0.03601 0.617 120 0.973 0.01802 0.03601 0.617 120 0.973
ENSG00000012124 0.08446 0.03546 0.0172 120 0.699 0.08446 0.03546 0.0172 120 0.699
ENSG00000012171 0.0208 0.03571 0.56 120 0.896 0.0208 0.03571 0.56 120 0.896
ENSG00000012174 -0.01768 0.06907 0.798 104 1 -0.01768 0.06907 0.798 104 1
ENSG00000012211 0.0209 0.07034 0.766 95 1 0.0209 0.07034 0.766 95 1
ENSG00000012223 0.00901 0.03564 0.8 120 0.674 0.00901 0.03564 0.8 120 0.674
ENSG00000012232 -0.0816 0.03526 0.0206 121 0.934 -0.0816 0.03526 0.0206 121 0.934
ENSG00000012660 0.00608 0.03563 0.864 123 0.84 0.00608 0.03563 0.864 123 0.84
ENSG00000012779 -0.02609 0.0351 0.457 124 0.999 -0.02609 0.0351 0.457 124 0.999
ENSG00000012817 -0.00457 0.07007 0.948 99 1 -0.00457 0.07007 0.948 99 1
ENSG00000012822 0.01222 0.03583 0.733 117 0.852 0.01222 0.03583 0.733 117 0.852
ENSG00000012963 -0.02597 0.03501 0.458 125 0.985 -0.02597 0.03501 0.458 125 0.985
